id,name,spouse,child,gender,father,mother,born,died,birth_place,place_of_death,position_held,instance_of,occupation,description,enwiki,url
Q18699310,Matthan,,Q18699312,male,Q18699300,,,,,,,"[u'human', u'biblical character']",,,,https://www.wikidata.org/wiki/Q18699310
Q18699312,Jacob,,Q128267,male,Q18699310,,,,,,,"[u'human', u'biblical character']",,,,https://www.wikidata.org/wiki/Q18699312
Q128267,Saint Joseph,Q345,Q302,male,"[u'Q2474891', u'Q18699312']",,,,,,,human,"[u'carpenter', u'carpentry']",,Saint Joseph,https://www.wikidata.org/wiki/Q128267
Q345,Mary,Q128267,Q302,female,Q314700,Q164294,-100,100,,[],,human,,,Mary (mother of Jesus),https://www.wikidata.org/wiki/Q345
Q302,Jesus Christ,,,male,"[u'Q128267', u'Q186350']",Q345,"[-2L, -7L]","[30L, 33L]",Bethlehem,Calvary,,"[u'deity', u'biblical character', u'mythical character', u'human', u'Hypostasis']",[],,Jesus,https://www.wikidata.org/wiki/Q302
Q2474891,Heli,,Q128267,male,,,,,,,,human,,,Heli (biblical figure),https://www.wikidata.org/wiki/Q2474891
Q314700,Joachim,Q164294,Q345,male,,,-100,,Tzippori,Jerusalem,,human,,,Joachim,https://www.wikidata.org/wiki/Q314700
Q164294,Saint Anna,Q314700,Q345,female,,Q831622,,100,"[u'Tzippori', u'Plon\xe9vez-Porzay']",,,human,,,Saint Anne,https://www.wikidata.org/wiki/Q164294
Q186350,God the Father,,Q302,male,,,,,,,,,,,God the Father,https://www.wikidata.org/wiki/Q186350
Q831622,Emerentia,,Q164294,female,,,,,,,,human,,,Emerentia,https://www.wikidata.org/wiki/Q831622
